,Block,Latitude,Longitude,zip
15,016XX S CALIFORNIA BLVD,41.85873464,-87.695678235,60608
17,038XX S PRINCETON AVE,41.824235646,-87.633774172,60653
18,012XX S WABASH AVE,41.866810739,-87.625817031,60605
19,033XX W 16TH ST,41.859036393000004,-87.709650307,60623
20,012XX S HALSTED ST,41.867015632,-87.646917628,60607
21,016XX W 43RD ST,41.81585395,-87.66688847799999,60609
48,028XX N OAK PARK AVE,41.931597441,-87.79548768,60707
50,029XX W DEVON AVE,41.997491071999995,-87.70367224200001,60659
51,004XX W MARQUETTE RD,41.772613371,-87.636098706,60621
52,047XX W NORTH AVE,41.909650876,-87.74386414,60651
53,025XX E 81ST ST,41.748138306,-87.562837999,60617
54,0000X W WACKER DR,41.886817724000004,-87.630073063,60602
55,017XX W 66TH ST,41.773970137,-87.66727091700001,60636
56,028XX S STATE ST,41.842709067,-87.626890005,60616
57,072XX S UNION AVE,41.762807618000004,-87.641483039,60621
58,009XX S WESTERN AVE,41.869839358,-87.686128445,60612
59,046XX W NORTH AVE,41.909664252,-87.742728815,60651
60,023XX S WABASH AVE,41.850202933,-87.62543850600001,60616
61,011XX S CALIFORNIA AVE,41.867671357,-87.69593454299999,60612
62,031XX W HARRISON ST,41.873699424,-87.704705156,60612
76,006XX W 46TH PL,41.80985297,-87.641486912,60609
77,025XX S CENTRAL PARK AVE,41.848975326,-87.71614173,60623
78,037XX S HERMITAGE AVE,41.82603409,-87.669065027,60632
79,016XX N RICHMOND ST,41.910941795999996,-87.700258214,60647
80,045XX N SHERIDAN RD,41.964784312,-87.654782085,60640
81,038XX W GEORGE ST,41.933674356,-87.72243359299999,60647
89,052XX W ROSCOE ST,41.942340939,-87.75754537,60641
90,046XX N FRANCISCO AVE,41.965860757,-87.70105322100001,60625
91,065XX S DR MARTIN LUTHER KING JR DR,41.775834643,-87.615515144,60637
92,074XX N ASHLAND BLVD,42.016509885,-87.670328495,60626
93,009XX N CAMBRIDGE AVE,41.898510953,-87.641827395,60610
94,037XX N LEAVITT ST,41.949077783,-87.683471135,60618
95,018XX N ST LOUIS AVE,41.914060549,-87.71306816399999,60647
96,052XX S KOSTNER AVE,41.797983238,-87.73309788700001,60629
97,056XX W WILSON AVE,41.964122201,-87.768122669,60630
98,053XX N NASHVILLE AVE,41.978246644,-87.791458042,60656
99,051XX N NATOMA AVE,41.974292841,-87.792749265,60656
100,123XX S UNION AVE,41.669662759,-87.639231114,60827
101,060XX S CALIFORNIA AVE,41.783754547,-87.69352143200001,60629
103,039XX N KIMBALL AVE,41.952956098,-87.71287132799999,60618
104,076XX S COTTAGE GROVE AVE,41.756115887,-87.605326291,60619
105,079XX S HERMITAGE AVE,41.749407415,-87.667059479,60620
116,071XX W ADDISON ST,41.94529551,-87.80530100600001,60634
117,057XX W EDDY ST,41.944929003,-87.769766227,60641
118,032XX N OVERHILL AVE,41.938411985,-87.818982671,60634
119,058XX W NEWPORT AVE,41.943073138,-87.77241070299999,60641
120,057XX S WESTERN AVE,41.789655791,-87.683921414,60636
126,079XX S CLYDE AVE,41.751184368000004,-87.573535549,60649
127,001XX W HURON ST,41.894821547,-87.63213392799999,60654
128,078XX S COTTAGE GROVE AVE,41.752114055,-87.605224922,60619
129,0000X W MONROE ST,41.880735492,-87.628568091,60603
130,013XX N MASSASOIT AVE,41.904869639,-87.769391307,60639
144,053XX S MARSHFIELD AVE,41.79696469,-87.66587766100001,60609
145,048XX W ROOSEVELT RD,41.865894511,-87.745059256,60644
159,101XX S INDIANA AVE,41.710279369,-87.61871338799999,60628
160,056XX N KIMBALL AVE,41.983849798,-87.713781542,60659
161,008XX N MASSASOIT AVE,41.895403138,-87.76906322100001,60302
162,001XX W ROOSEVELT RD,41.867346388,-87.63216624399999,60605
175,016XX W ONTARIO ST,41.892768505999996,-87.668050801,60642
176,077XX S SOUTH SHORE DR,41.756457493,-87.552853934,60649
177,002XX N LARAMIE AVE,41.884865037,-87.755230327,60644
178,015XX W 18TH ST,41.857824459,-87.664477992,60608
179,063XX S ARTESIAN AVE,41.778434068,-87.68483756,60636
180,026XX E 73RD ST,41.763628928,-87.56147242600001,60649
181,051XX W NORTH AVE,41.909512571,-87.75498227700001,60639
202,101XX S LAFAYETTE AVE,41.71020727,-87.624797434,60628
203,022XX S WESTERN AVE,41.851804072,-87.68563492,60608
204,010XX W ADDISON ST,41.947227653,-87.655380005,60613
205,0000X E WACKER DR,41.888045958,-87.625413826,60602
206,129XX S PARNELL AVE,41.659152699,-87.63528193200001,60827
207,049XX N BROADWAY,41.972851462,-87.659771295,60640
208,0000X N STATE ST,41.882394061999996,-87.627844798,60602
209,057XX S DREXEL AVE,41.790628946,-87.60372947200001,60637
210,073XX N CLARK ST,42.015041419,-87.67503922899999,60626
212,039XX W 60TH ST,41.784141354,-87.721196845,60629
213,056XX S HERMITAGE AVE,41.791321988,-87.66816575,60636
227,052XX W GLADYS AVE,41.87568438,-87.760479356,60644
228,037XX W 70TH PL,41.765100539,-87.715905235,60652
229,010XX W LAKE ST,41.885573978000004,-87.65274542200001,60661
230,115XX S RACINE AVE,41.683830408,-87.65184078799999,60643
231,014XX S CHRISTIANA AVE,41.861989508,-87.709199438,60624
232,052XX S PRAIRIE AVE,41.799215094000004,-87.61933983200001,60615
233,016XX S KOMENSKY AVE,41.858265918,-87.726161913,60623
234,049XX S ARCHER AVE,41.803201891,-87.72198373,60629
